Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
2008-07-16 00:00:00+00:00,51.8084562221,33.219124231799995,21.7086407698,49.609457522700005,51.6694552249,58.0724704242,16.7878221483,18.7292600778,26.134740628899998,,58.553741970699996,150.35366896719998,17.2747206323,94.34047087309999,14.8983277594,49.1647011104,28.21387424,43.25269599520001,24.4048899261,20.9592431944,12.5770615816,11.8983684035,45.7589999903,33.3990973222,47.180606893000004,19.6194021548,19.5884018088,16.6785105721,43.7681490162,26.8708877804
2008-07-17 00:00:00+00:00,52.419832235200005,34.9943837067,21.5830193314,50.6231304882,52.92950716,57.5884771529,17.121987328499998,18.0135833458,26.7960534874,,58.2059410037,157.6425949532,17.8078910222,94.7749434243,15.6678253194,48.9051426356,32.0291059819,43.403677813,24.6247537993,21.1591479351,12.6635613174,11.9830774885,45.7589999903,33.0475278767,49.952303485200005,20.533755118,19.616084683,17.3319812203,44.3213980908,27.512389129899997
2008-07-18 00:00:00+00:00,52.0348917825,35.3293383246,20.7463805516,51.546026770299996,52.2368475926,57.84391804609999,17.2333757219,17.9026534523,26.538399126999998,,59.082689274799996,159.0342753324,17.8535913413,97.2993787653,15.739075093499999,48.8979326779,31.4167848381,43.4540050856,25.1044567954,19.8828330524,12.5857115552,11.9374649043,45.601432608900005,33.5901676731,49.481346682600005,20.8124150688,19.6271578327,16.9486733489,44.505814449,27.4081451606
2008-07-21 00:00:00+00:00,51.8763868902,34.2491096819,20.8895889914,51.621674006499994,53.9611277924,58.422021120100005,17.376589370599998,17.7487829549,26.186271501,,60.1260921759,157.2424868442,17.6098563059,96.37799732040001,15.739075093499999,48.3860256859,30.341297701,42.95792197,23.5387595165,19.7136828872,12.436499511,11.7875949847,45.579946147799994,32.9252428522,49.45046426930001,20.7514582045,19.4610605873,16.6023108145,44.0370895386,27.1355070871
2008-07-22 00:00:00+00:00,53.061399656400006,31.8123148365,20.3531854494,52.393275816099994,55.2506535829,57.5615886378,17.424327253399998,18.3750000955,26.1175636716,,60.0391419341,163.5572365648,18.242044053900003,97.3817787319,15.739075093499999,49.020501957700006,32.076207608400004,43.2239375537,20.8737428715,19.8367011892,12.6873487447,11.9570131547,45.909405218,34.1328074694,50.3923778745,22.823991588000002,19.2008415695,17.0987637805,45.381792150600006,27.5765392649
2008-07-23 00:00:00+00:00,53.4387922571,32.942786672,20.885820348299998,50.4718360157,53.36426156939999,55.558394265100006,17.6391477264,18.7865142164,26.753111094,,58.684167333400005,163.40937052450002,19.0646497983,97.0222152412,15.8886996191,49.2223807715,32.9397374265,42.8932154766,21.1668947025,20.3210857531,12.8019608946,12.426171164000001,46.33913444,34.8512319884,50.7861286438,24.1737507242,19.843084251700002,16.9140370955,44.6364427028,27.8090835041
2008-07-24 00:00:00+00:00,53.6274885574,30.4892440958,19.9775773486,47.3022168175,51.4189198055,55.12145589520001,17.31293886,18.5574976621,26.6414608712,,58.546496117299995,156.7901907209,18.2953610929,97.3817787319,15.4398260424,49.5035691193,30.7259609836,41.9657557387,21.466709075,19.5599100098,12.570574101400002,12.256752994000001,46.2030535197,32.7723865716,49.5662733191,23.529349588200002,19.427841138199998,16.182057606199997,43.7758330311,27.087394485900003
2008-07-25 00:00:00+00:00,53.55201003729999,30.6650952702,20.3657475933,48.2856308886,51.9347301217,55.497895106099996,17.8460118856,18.629065335299998,26.7101687006,,59.1986229305,155.7029404247,18.1277932561,96.2806155417,15.6820752742,49.7703375517,31.0242712844,42.1670648291,21.7731859892,20.1134923686,12.579224075,12.308881661700001,46.1672427512,32.3520317998,50.3614954612,23.903798896999998,19.073500348,16.6161653159,43.6682568221,26.9109816147
2008-07-28 00:00:00+00:00,52.555693571499994,29.6183620892,19.3959500888,47.1584870687,50.984165396099996,55.450840204799995,17.487977764,18.3034324222,26.1948599797,,58.459545875500005,150.683076231,17.640323185299998,94.5726889608,15.4398260424,49.3737898818,29.564120864699998,41.5487583372,21.360108409200002,19.606041873,12.378112189300001,11.9635292382,45.716027068100004,32.176247077,49.465905476,23.3203546252,18.602891486,16.2905845336,43.0458516132,26.6062684737
2008-07-29 00:00:00+00:00,53.2048088446,31.418743160500004,19.7326155438,47.816618023900006,52.3105347806,55.6861147116,17.838055571800002,18.453724536,26.555576084299997,,58.6189546521,158.29130789959999,18.5314794084,95.6289067148,15.838824777200001,49.3737898818,31.9898546265,42.9219739181,21.593297365700003,20.0750491492,12.7716859871,12.074302657,46.940755350799996,33.0933847609,50.5853929575,23.9734638846,18.8963299529,17.5421078245,44.1446657475,27.1355070871
